time,open,high,low,close,Fast_MA,Slow_MA,Signal,Crossover,Bias
2024-08-07 02:00:00,18.46461,18.49362,18.46461,18.49362,18.482984599999998,18.3550462,1,0.0,Bullish
2024-08-07 03:00:00,18.49362,18.50239,18.47645,18.48289,18.4878426,18.3584091,1,0.0,Bullish
2024-08-07 04:00:00,18.48322,18.48382,18.42421,18.43251,18.489499000000002,18.360979999999998,1,0.0,Bullish
2024-08-07 05:00:00,18.43251,18.44732,18.4236,18.43281,18.4916074,18.3633746,1,0.0,Bullish
2024-08-07 06:00:00,18.43281,18.43281,18.4108,18.41871,18.4934498,18.3654538,1,0.0,Bullish
2024-08-07 07:00:00,18.41881,18.425910000000002,18.40569,18.41544,18.495106800000002,18.367450599999998,1,0.0,Bullish
2024-08-07 08:00:00,18.4151,18.42439,18.36462,18.38566,18.4953942,18.369416700000002,1,0.0,Bullish
2024-08-07 09:00:00,18.3858,18.41628,18.37082,18.37457,18.4953176,18.3711551,1,0.0,Bullish
2024-08-07 10:00:00,18.37429,18.39647,18.34893,18.357,18.4941234,18.3724522,1,0.0,Bullish
2024-08-07 11:00:00,18.3571,18.37322,18.32992,18.33662,18.4906322,18.3735588,1,0.0,Bullish
2024-08-07 12:00:00,18.33671,18.35079,18.27761,18.2785,18.4866716,18.3740268,1,0.0,Bullish
2024-08-07 13:00:00,18.27825,18.32745,18.27164,18.32702,18.483271600000002,18.3751118,1,0.0,Bullish
2024-08-07 14:00:00,18.32713,18.32788,18.28616,18.32179,18.477166200000003,18.3758878,1,0.0,Bullish
2024-08-07 15:00:00,18.32127,18.35611,18.31955,18.33077,18.4715466,18.3766073,1,0.0,Bullish
2024-08-07 16:00:00,18.33077,18.35809,18.30852,18.33104,18.466472,18.3776295,1,0.0,Bullish
2024-08-07 17:00:00,18.33143,18.383,18.32858,18.36372,18.4613526,18.3791003,1,0.0,Bullish
2024-08-07 18:00:00,18.36279,18.3841,18.35644,18.36929,18.457633,18.3810078,1,0.0,Bullish
2024-08-07 19:00:00,18.36919,18.39838,18.36774,18.38115,18.454059,18.3829908,1,0.0,Bullish
2024-08-07 20:00:00,18.38129,18.40229,18.37868,18.39972,18.451348,18.3856331,1,0.0,Bullish
2024-08-07 21:00:00,18.39968,18.41275,18.38564,18.39358,18.448757,18.3880465,1,0.0,Bullish
2024-08-07 22:00:00,18.39373,18.41192,18.38471,18.40599,18.4467424,18.3903819,1,0.0,Bullish
2024-08-07 23:00:00,18.40599,18.41658,18.35331,18.3662,18.443248,18.3918461,1,0.0,Bullish
2024-08-08 00:00:00,18.29472,18.41356,18.29472,18.37959,18.439956000000002,18.3931571,1,0.0,Bullish
2024-08-08 01:00:00,18.37577,18.4037,18.3438,18.3638,18.4377392,18.3939995,1,0.0,Bullish
2024-08-08 02:00:00,18.36055,18.4296,18.35921,18.38739,18.4352764,18.3951752,1,0.0,Bullish
2024-08-08 03:00:00,18.38602,18.41881,18.3846,18.41021,18.433176800000002,18.396648300000003,1,0.0,Bullish
2024-08-08 04:00:00,18.40981,18.41141,18.36359,18.3992,18.4318146,18.39812,1,0.0,Bullish
2024-08-08 05:00:00,18.3992,18.40514,18.35768,18.3653,18.431174000000002,18.398896200000003,1,0.0,Bullish
2024-08-08 06:00:00,18.3653,18.36859,18.35628,18.35729,18.4289094,18.3995954,1,0.0,Bullish
2024-08-08 07:00:00,18.35729,18.36114,18.3366,18.34299,18.4256486,18.4001295,1,0.0,Bullish
2024-08-08 08:00:00,18.3434,18.37269,18.33496,18.36142,18.423078399999998,18.4009107,1,0.0,Bullish
2024-08-08 09:00:00,18.36142,18.36748,18.32592,18.33149,18.4199516,18.401409899999997,1,0.0,Bullish
2024-08-08 10:00:00,18.3318,18.4372,18.32822,18.4153,18.4190778,18.4028252,1,0.0,Bullish
2024-08-08 11:00:00,18.41551,18.42024,18.3502,18.39506,18.417540799999998,18.4040861,1,0.0,Bullish
2024-08-08 12:00:00,18.39511,18.44254,18.38825,18.41139,18.41439,18.4057053,1,0.0,Bullish
2024-08-08 13:00:00,18.41256,18.42731,18.39589,18.4121,18.4120322,18.4074873,1,0.0,Bullish
2024-08-08 14:00:00,18.41125,18.42405,18.39354,18.39794,18.4087482,18.4092427,-1,-2.0,Bearish
2024-08-08 15:00:00,18.39809,18.41633,18.34421,18.38925,18.4061472,18.411252400000002,-1,0.0,Bearish
2024-08-08 16:00:00,18.39232,18.40089,18.35504,18.36087,18.4039782,18.4129696,-1,0.0,Bearish
2024-08-08 17:00:00,18.36087,18.3768,18.34087,18.373170000000002,18.4005632,18.4148766,-1,0.0,Bearish
2024-08-08 18:00:00,18.37331,18.38993,18.34844,18.35512,18.397416999999997,18.4163878,-1,0.0,Bearish
2024-08-08 19:00:00,18.35507,18.39196,18.34995,18.38934,18.3952868,18.418614299999998,-1,0.0,Bearish
2024-08-08 20:00:00,18.38996,18.40519,18.36337,18.36494,18.3929286,18.4205343,-1,0.0,Bearish
2024-08-08 21:00:00,18.36494,18.36574,18.34537,18.34964,18.390664,18.421828700000002,-1,0.0,Bearish
2024-08-08 22:00:00,18.34936,18.36642,18.34754,18.35505,18.388523,18.4228639,-1,0.0,Bearish
2024-08-08 23:00:00,18.35505,18.37301,18.33331,18.35823,18.386178,18.4238118,-1,0.0,Bearish
2024-08-09 00:00:00,18.39037,18.39039,18.33236,18.34295,18.383254400000002,18.4246264,-1,0.0,Bearish
2024-08-09 01:00:00,18.33152,18.36928,18.3296,18.33458,18.380452000000002,18.425376999999997,-1,0.0,Bearish
2024-08-09 02:00:00,18.33458,18.36616,18.33321,18.35208,18.378378,18.4262571,-1,0.0,Bearish
2024-08-09 03:00:00,18.35208,18.3788,18.34554,18.3687,18.3764598,18.427212,-1,0.0,Bearish
2024-08-09 04:00:00,18.3687,18.3749,18.33459,18.33769,18.3733412,18.4281629,-1,0.0,Bearish
2024-08-09 05:00:00,18.33769,18.34499,18.33417,18.33799,18.3704432,18.429142900000002,-1,0.0,Bearish
2024-08-09 06:00:00,18.33759,18.34054,18.33469,18.33644,18.3685218,18.4290104,-1,0.0,Bearish
2024-08-09 07:00:00,18.33649,18.35434,18.32609,18.35169,18.3668994,18.429253399999997,-1,0.0,Bearish
2024-08-09 08:00:00,18.35278,18.35789,18.34189,18.34998,18.3655248,18.4294873,-1,0.0,Bearish
2024-08-09 09:00:00,18.34988,18.35026,18.2781,18.29056,18.363027199999998,18.429067,-1,0.0,Bearish
2024-08-09 10:00:00,18.29043,18.30686,18.27461,18.29792,18.3612724,18.4283333,-1,0.0,Bearish
2024-08-09 11:00:00,18.29792,18.32862,18.284,18.31776,18.3601362,18.4277269,-1,0.0,Bearish
2024-08-09 12:00:00,18.31782,18.34974,18.29144,18.29769,18.35895,18.4265367,-1,0.0,Bearish
2024-08-09 13:00:00,18.29769,18.32008,18.29269,18.30518,18.3583212,18.4244767,-1,0.0,Bearish
2024-08-09 14:00:00,18.30532,18.31929,18.29099,18.31743,18.3590998,18.422885700000002,-1,0.0,Bearish
2024-08-09 15:00:00,18.31743,18.33723,18.30381,18.30585,18.3586764,18.420974,-1,0.0,Bearish
2024-08-09 16:00:00,18.30554,18.32917,18.28043,18.32358,18.3587122,18.4179392,-1,0.0,Bearish
2024-08-09 17:00:00,18.32351,18.33939,18.28174,18.30304,18.3581576,18.4148521,-1,0.0,Bearish
2024-08-09 18:00:00,18.30338,18.32352,18.283079999999998,18.30532,18.3576432,18.4120576,-1,0.0,Bearish
2024-08-09 19:00:00,18.30532,18.32193,18.29959,18.3104,18.3565768,18.408964700000002,-1,0.0,Bearish
2024-08-09 20:00:00,18.31036,18.31678,18.30158,18.30966,18.3553842,18.4065086,-1,0.0,Bearish
2024-08-09 21:00:00,18.30966,18.31784,18.29027,18.29027,18.3535666,18.403812799999997,-1,0.0,Bearish
2024-08-09 22:00:00,18.29054,18.3167,18.29054,18.305790000000002,18.351688000000003,18.401518,-1,0.0,Bearish
2024-08-09 23:00:00,18.30574,18.31663,18.29527,18.30755,18.3499674,18.3993622,-1,0.0,Bearish
2024-08-12 00:00:00,18.3031,18.32568,18.26399,18.29966,18.3478408,18.3972916,-1,0.0,Bearish
2024-08-12 01:00:00,18.30582,18.32896,18.27581,18.2936,18.3463888,18.3948184,-1,0.0,Bearish
2024-08-12 02:00:00,18.29601,18.31253,18.27225,18.2965,18.344727,18.3923415,-1,0.0,Bearish
2024-08-12 03:00:00,18.29811,18.314329999999998,18.28403,18.28678,18.3431866,18.3904629,-1,0.0,Bearish
2024-08-12 04:00:00,18.28683,18.29454,18.27458,18.27837,18.3410062,18.3881413,-1,0.0,Bearish
2024-08-12 05:00:00,18.27837,18.29952,18.27837,18.28767,18.3385554,18.385866099999998,-1,0.0,Bearish
2024-08-12 06:00:00,18.28787,18.31203,18.28648,18.30277,18.3366268,18.3842207,-1,0.0,Bearish
2024-08-12 07:00:00,18.30307,18.3067,18.28996,18.29193,18.3351594,18.3831667,-1,0.0,Bearish
2024-08-12 08:00:00,18.29178,18.29865,18.28757,18.29519,18.3339174,18.3814134,-1,0.0,Bearish
2024-08-12 09:00:00,18.29543,18.30415,18.24579,18.24954,18.332048399999998,18.3788485,-1,0.0,Bearish
2024-08-12 10:00:00,18.24934,18.25931,18.21921,18.22799,18.3293798,18.3762291,-1,0.0,Bearish
2024-08-12 11:00:00,18.22828,18.25221,18.22215,18.22421,18.3272342,18.373592900000002,-1,0.0,Bearish
2024-08-12 12:00:00,18.22417,18.23184,18.1832,18.19501,18.322828400000002,18.370953099999998,-1,0.0,Bearish
2024-08-12 13:00:00,18.19501,18.22748,18.18274,18.21272,18.3191816,18.3683612,-1,0.0,Bearish
2024-08-12 14:00:00,18.21273,18.22671,18.20758,18.21381,18.31523,18.36481,-1,0.0,Bearish
2024-08-12 15:00:00,18.21376,18.22274,18.18394,18.20732,18.3111344,18.361583300000003,-1,0.0,Bearish
2024-08-12 16:00:00,18.20732,18.21681,18.1667,18.20473,18.3072702,18.3580092,-1,0.0,Bearish
2024-08-12 17:00:00,18.20447,18.21556,18.18248,18.20222,18.3035296,18.3548384,-1,0.0,Bearish
2024-08-12 18:00:00,18.20222,18.23866,18.18097,18.21326,18.300577399999998,18.3522778,-1,0.0,Bearish
2024-08-12 19:00:00,18.21319,18.24493,18.19736,18.23659,18.2978458,18.3492045,-1,0.0,Bearish
2024-08-12 20:00:00,18.23659,18.24614,18.21517,18.22044,18.2951522,18.3462846,-1,0.0,Bearish
2024-08-12 21:00:00,18.22029,18.24954,18.21708,18.22996,18.2919646,18.3436257,-1,0.0,Bearish
2024-08-12 22:00:00,18.23014,18.2705,18.22919,18.25518,18.289769399999997,18.341349,-1,0.0,Bearish
2024-08-12 23:00:00,18.25518,18.26616,18.21341,18.21341,18.2870448,18.3388544,-1,0.0,Bearish
2024-08-13 00:00:00,18.21341,18.26972,18.21341,18.23818,18.2847074,18.3366152,-1,0.0,Bearish
2024-08-13 01:00:00,18.23907,18.24931,18.22827,18.23874,18.2823176,18.3342478,-1,0.0,Bearish
2024-08-13 02:00:00,18.23874,18.25911,18.2115,18.23769,18.2802124,18.3317334,-1,0.0,Bearish
2024-08-13 03:00:00,18.23484,18.25704,18.22695,18.22905,18.2781018,18.3292769,-1,0.0,Bearish
2024-08-13 04:00:00,18.22915,18.23816,18.22355,18.22845,18.2756292,18.3270036,-1,0.0,Bearish
2024-08-13 05:00:00,18.22845,18.24245,18.22595,18.22715,18.2727982,18.324629,-1,0.0,Bearish
2024-08-13 06:00:00,18.22715,18.22905,18.22575,18.22665,18.2705774,18.3219593,-1,0.0,Bearish
2024-08-13 07:00:00,18.22665,18.23549,18.21754,18.21815,18.2681806,18.3193119,-1,0.0,Bearish
2024-08-13 08:00:00,18.21805,18.23562,18.21735,18.22498,18.2659514,18.3172366,-1,0.0,Bearish
2024-08-13 09:00:00,18.22498,18.25354,18.22001,18.22062,18.26333,18.3151147,-1,0.0,Bearish
2024-08-13 10:00:00,18.22082,18.22723,18.18269,18.18737,18.2600778,18.3128013,-1,0.0,Bearish
2024-08-13 11:00:00,18.18775,18.19791,18.16862,18.19268,18.2581202,18.3105737,-1,0.0,Bearish
2024-08-13 12:00:00,18.19284,18.21551,18.17342,18.18194,18.2558006,18.3085365,-1,0.0,Bearish
2024-08-13 13:00:00,18.18193,18.18703,18.16309,18.17609,18.2529672,18.3065517,-1,0.0,Bearish
2024-08-13 14:00:00,18.17609,18.17612,18.13971,18.14993,18.250012,18.304481,-1,0.0,Bearish
2024-08-13 15:00:00,18.15013,18.16071,18.10577,18.11994,18.2463072,18.3023142,-1,0.0,Bearish
2024-08-13 16:00:00,18.11994,18.14642,18.10939,18.13428,18.2426442,18.300872000000002,-1,0.0,Bearish
2024-08-13 17:00:00,18.13434,18.16667,18.12384,18.14015,18.2393302,18.2990033,-1,0.0,Bearish
2024-08-13 18:00:00,18.14024,18.16098,18.12545,18.15182,18.235895,18.2973036,-1,0.0,Bearish
2024-08-13 19:00:00,18.15177,18.15261,18.12483,18.13271,18.2324884,18.295323,-1,0.0,Bearish
2024-08-13 20:00:00,18.13232,18.15764,18.12978,18.13662,18.2291144,18.2933788,-1,0.0,Bearish
2024-08-13 21:00:00,18.13677,18.1369,18.10254,18.10254,18.224957200000002,18.290767000000002,-1,0.0,Bearish
2024-08-13 22:00:00,18.10553,18.12092,18.09819,18.10182,18.2208004,18.288092300000002,-1,0.0,Bearish
2024-08-13 23:00:00,18.10176,18.11454,18.0785,18.08249,18.216644799999997,18.2851057,-1,0.0,Bearish
2024-08-14 00:00:00,18.08967,18.12901,18.07815,18.11501,18.212829199999998,18.2822586,-1,0.0,Bearish
2024-08-14 01:00:00,18.11501,18.12983,18.09244,18.10075,18.2086932,18.279330299999998,-1,0.0,Bearish
2024-08-14 02:00:00,18.0942,18.10679,18.0942,18.09561,18.2046122,18.2762265,-1,0.0,Bearish
2024-08-14 03:00:00,18.09561,18.10454,18.09253,18.09603,18.2006608,18.2735248,-1,0.0,Bearish
2024-08-14 04:00:00,18.09593,18.09978,18.09349,18.09603,18.1966514,18.270689200000003,-1,0.0,Bearish
2024-08-14 05:00:00,18.09603,18.12068,18.09603,18.11092,18.1931342,18.2681604,-1,0.0,Bearish
2024-08-14 06:00:00,18.11976,18.13271,18.10972,18.12824,18.1901316,18.265568899999998,-1,0.0,Bearish
2024-08-14 07:00:00,18.12872,18.13088,18.10846,18.11102,18.1865986,18.262577,-1,0.0,Bearish
2024-08-14 08:00:00,18.11201,18.11496,18.09497,18.09618,18.1824668,18.2595468,-1,0.0,Bearish
2024-08-14 09:00:00,18.09643,18.13153,18.086,18.09165,18.1784612,18.256810299999998,-1,0.0,Bearish
2024-08-14 10:00:00,18.09118,18.10517,18.0709,18.07439,18.1740452,18.2539813,-1,0.0,Bearish
